id,termino,titular,fecha,duracion,enlace
5d10b8ef7ed1a814e9dfc283,futbol femenino,Onda Deportiva Madrid 24/06/2019,2019-06-24,0:18:16,https://www.ondacero.es/emisoras/comunidad-madrid/madrid/audios-podcast/onda-deportiva-madrid/onda-deportiva-madrid-24062019_201906245d10b9580cf281bbde1bffd9.html
5d12a13b7ed1a86c133a3a73,futbol femenino,"Jorge Vilda: ""El grupo ha sido lo más importante de este Mundial. Las titulares y las suplentes han sumado todas""",2019-06-25,0:18:54,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/jorge-vilda_201906265d12a2a20cf20999d86858f6.html
5d1142c87ed1a814e9dfc41a,futbol femenino,"Virginia Torrecilla: ""Te queda un mal sabor de boca pero nos vamos contentas por el trabajo realizado""",2019-06-24,0:05:54,https://www.ondacero.es/programas/transistor/virginia-torrecilla-te-queda-un-mal-sabor-de-boca-pero-nos-vamos-contentas-por-el-trabajo-realizado_201906245d1143280cf281bbde1ce7fe.html
5d1066507ed1a8b3d9312c72,futbol femenino," Las preguntas de Amón: ""¿No os desconcierta que la función de Francisco Serrano antes de la política fuera la de juez?""",2019-06-24,0:01:50,https://www.ondacero.es/programas/mas-de-uno/audios-podcast/preguntas-amon/las-preguntas-de-amon-no-os-desconcierta-que-la-funcion-de-francisco-serrano-antes-de-la-politica-fuera-la-de-juez_201906245d1067520cf2fdd8c13f48f1.html
5d124cbf7ed1a86c133a39ba,futbol femenino,Mesa de redacción: 10 años sin Michael Jackson,2019-06-25,0:55:53,https://www.ondacero.es/programas/julia-en-la-onda/audios-podcast/mesa-redaccion/mesa-de-redaccion-10-anos-sin-michael-jackson_201906255d12517a0cf20999d867dcf7.html
5cec34fc7ed1a86505e03670,futbol femenino,"Jenni Hermoso: ""Soñamos muy alto, pero el primer partido es primordial""",2019-05-27,0:03:54.792000,https://www.ondacero.es/programas/la-brujula/audios-podcast/deportes/mundial-femenino-jenni-hermoso-sonamos-muy-alto-pero-el-primer-partido-es-primordial_201905275cec35f10cf22ed9c59ad8dd.html
5d25db517ed1a860cc18a2d9,futbol femenino,"La guardameta mallorquina, Cata Coll: ""Es un sueño fichar por el Barça""",2019-07-10,0:06:29.520000,https://www.ondacero.es/emisoras/baleares/mallorca/deportes/la-guardameta-mallorquina-cata-coll-es-un-sueno-fichar-por-el-barca_201907105d25db9a0cf278d6eb0cc5bc.html
5d5497da7ed1a87f97f744bd,futbol femenino,"El Athletic femenino gana el Ramón de Carranza: ""Cuando un torneo así se abre al fútbol femenino lo disfrutas como si fuera una competición oficial""",2019-08-14,0:08:19,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/el-athletic-femenino-gana-el-ramon-de-carranza-cuando-un-torneo-asi-se-abre-al-futbol-femenino-lo-disfrutas-como-si-fuera-una-competicion-oficial_201908155d5498830cf239eded618b4e.html
5d5990797ed1a84ae55a87f7,futbol femenino,Ellas juegan: Los cinco grandes fichajes de la Primera Iberdrola 2019 - 2020,2019-08-18,0:06:22.890667,https://www.ondacero.es/programas/radioestadio/audios-podcast/ellas-juegan-los-cinco-grandes-fichajes-de-la-primera-iberdrola-2019-2020_201908185d5991290cf2f1647b40d189.html
5dcad54b7ed1a80846465a20,futbol femenino,"Ellas Juegan 03×11 | Pablo López: ""Es un orgullo ser parte de la historia del Atleti""",2019-11-12,0:29:19.200000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-0311-pablo-lopez-es-un-orgullo-ser-parte-de-la-historia-del-atleti_201911125dcad6bc0cf257e1c3d44fbf.html
5dcf41f37ed1a89d252b77ca,futbol femenino,"Sergio Batista, presidente del Granadilla: ""En líneas generales cumplimos lo que exigen en el convenio que piden""",2019-11-16,0:14:31,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/sergio-batista-presidente-del-granadilla-en-lineas-generales-cumplimos-lo-que-exigen-en-el-convenio-que-piden_201911165dcf42520cf2f8653d999b4c.html
